FechaCierre,Descripcion,Estado,CodigoTipo,TipoConvocatoria,MontoEstimado,Modalidad,EmailResponsablePago,Comprador.NombreOrganismo,Comprador.NombreUnidad,Comprador.ComunaUnidad,Comprador.RegionUnidad,Comprador.NombreUsuario,Comprador.CargoUsuario
2025-10-10 15:00:00,ADQUISICION DE INSUMOS LABORATORIO DENTAL PARA LA UNIDAD BODEGA DE MEDICMANETOS DEL HOSPITAL ALTO HOSPICIO,,,,,,,,,,,,
2025-10-06 15:00:00,CONVENIO DE PRESTACIÓN DE SERVICIO DE ASEO GENERAL Y LIMPIEZA PARA LAS DEPENDENCIAS DEL HOSPITAL ALTO HOSPICIO POR 36 MESES,,,,,,,,,,,,
2025-10-08 15:00:00,Reparacion de techumbres en oficinas de Registro Civil,,,,,,,,,,,,
2025-10-15 15:00:00,SERVICIO DE REPARACION DE INMUEBLES ,,,,,,,,,,,,
2025-10-07 12:00:00,PRODUCCIÓN PARA LA EJECUCIÓN DE ACTIVIDADES DE DIFUSIÓN PATRIMONIAL ULTIMO TRIMESTRE 2025 Y VERANO 2026,,,,,,,,,,,,
2025-10-10 15:25:00,CONVENIO DE SUMINISTRO DE TEST DE QUÍMICA CLÍNICA ENDOCRIONOLOGÍA E INMUNOQUÍMICA POR TEST REPORTADO ASOCIADO A EQUIPAMIENTO Y UN SISTEMA INFORMÁTICO DE LABORATORIO CLÍNICO INTEGRAL” PARA EL HOSPITAL PROVINCIAL DE OVALLE,,,,,,,,,,,,
2025-10-09 12:15:00,adquisición elementos de seguridad Vial,,,,,,,,,,,,
2025-10-06 15:00:00,SERVICIO DE HABILITACIÓN DE ESPACIOS DE ESPERA INFANTIL DE LAS OFICINAS DE LA DIRECCIÓN REGIÓN METROPOLITANA ,,,,,,,,,,,,
2025-11-03 18:00:00,GLOBAL DE CAMINOS A SERIE DE P.U. Y SUMA ALZADA,,,,,,,,,,,,
2025-10-15 20:00:00,Seguro enfermedades exóticas para aves,,,,,,,,,,,,
2025-10-15 15:01:00,Adquisición de licencias informáticas para SLEP,,,,,,,,,,,,
2025-10-10 10:10:00,SERVICIO DE CONSULTORA RECLUTAMIENTO SLEP ACONCAGU,,,,,,,,,,,,
2025-10-27 17:30:00,SERVICIO DE TRANSPORTE ESCOLAR,,,,,,,,,,,,
2025-10-23 17:00:00,SERVICIO TRANSPORTE ESCOLAR PRIMER SEMESTRE 2026,,,,,,,,,,,,
2025-10-16 16:30:00,SERVICIO DE ASEO Y SUMINISTRO DE PRODUCTOS,,,,,,,,,,,,
2025-10-10 09:00:00,SERVICIO DE INTERNET Y TELELEFONÍA IP,,,,,,,,,,,,
2025-10-07 15:03:00,FRUTAS Y VERDURAS PARA EL CDP DE VALLENAR PARA LOS MESES DE OCTUBRE A DICIEMBRE 2025,,,,,,,,,,,,
2025-10-06 15:00:00,COMPRA DE PAN FRESCO CCP DE CHAÑARAL DESDE OCTUBRE 2025 A MARZO 2026 ,,,,,,,,,,,,
2025-10-06 15:00:00,SERVICIO DE CREACIÓN SITIO WEB PARTICIPA LO BARNECHEA SERVICIOS,,,,,,,,,,,,
2025-10-06 15:00:00,SERVICIO DE MONITOREO Y GESTIÓN INTEGRAL DE FLOTA,,,,,,,,,,,,
2025-11-03 15:01:00,OBRAS MENORES PARA EL CDPR BIOBÍO Y BODEGA HUALPEN,,,,,,,,,,,,
2025-10-15 15:00:00,PPTA 440-25 ADQ INSUMOS ESTUDIOS ELECTROFISIOLOGICOS Y ABLACIONES CON SOPORTE DE MAPEO ELECTROANATÓMICO,,,,,,,,,,,,
2025-10-06 15:00:00,Propuesta Pública Nº 458 del 2025 denominada “ADQUISICIÓN DE LÁMPARA QUIRÚRGICA Y SILLÓN QUIRÚRGICO”,,,,,,,,,,,,
2025-10-13 15:01:00,Propuesta Pública Nº 459 del 2025 denominada “ADQUISICIÓN DE HOLTER Y DESFIBRILADOR”,,,,,,,,,,,,
2025-10-07 15:00:00,PPTA 460-25 ADQ LENTES MONOFOCALES,,,,,,,,,,,,
2025-11-03 15:01:00,PPTA 453-25 ADQ DE KIT VALVULOPLASTIA PERCUTANEA,,,,,,,,,,,,
2025-10-13 15:01:00,PPTA 406-25 ADQ DE MICOFENOLATOS,,,,,,,,,,,,
2025-10-13 15:01:00,PPTA 407-25 ADQ DE DARATUMUMAB,,,,,,,,,,,,
2025-10-13 15:01:00,PPTA 405-25 ADQ DE IPILIMUMAB,,,,,,,,,,,,
2025-10-13 15:01:00,PPTA 408-25 ADQ PASIREOTIDA PAMOATO,,,,,,,,,,,,
2025-10-07 12:00:00,Servicio de Auditoria Financiera Externa,,,,,,,,,,,,
2025-10-29 12:00:00,Servicio de Aseo para Fines de Semana y Festivos,,,,,,,,,,,,
2025-10-17 12:00:00,Contrato Suministro Provisión Aplicación Pintura,,,,,,,,,,,,
2025-10-13 16:00:00,Arriendo de Flota de Vehículos Autopista Segura.,,,,,,,,,,,,
2025-10-10 12:00:00,Provisión e Instalación de Generadores Eléctricos,,,,,,,,,,,,
2025-10-17 12:00:00,Adquisición de Aeronave No Tripulada tipo VTOL,,,,,,,,,,,,
2025-10-07 12:00:00,Desarrollo de Planificador de Servicios Operativos,,,,,,,,,,,,
2025-10-06 16:00:00,Adquisición de Tablets Operativas,,,,,,,,,,,,
2025-10-23 12:00:00,Servicio de Arriendo y Mantención de Impresoras.,,,,,,,,,,,,
2025-10-14 12:00:00,Capacitación Seguridad Vial y Conducción Operativa,,,,,,,,,,,,
2025-10-22 12:00:00,Estudio Levantamiento Eléctrico Integral - AMSZO,,,,,,,,,,,,
2025-10-30 12:00:00,Fabricación e Instalación de Protección de Puerta.,,,,,,,,,,,,
2025-10-15 12:00:00,Adquisición Chalecos Balísticos para Lo Barnecha,,,,,,,,,,,,
2025-11-05 15:00:00,Adquisición Sistema de Extracción de Información,,,,,,,,,,,,
2025-10-27 16:00:00,Servicio de Transmisión de Video e Imágenes Dron,,,,,,,,,,,,
2025-10-06 17:00:00,SERVICIO TÉCNICO MANTENCIÓN DE INFRAESTRUCTURA EE,,,,,,,,,,,,
2025-10-10 17:00:00,SOFTWARE DE GESTIÓN PRESUPUESTARIA COMPRAS COMETIDOS Y ACTIVO FIJO,,,,,,,,,,,,
2025-11-03 17:00:00,SERVICIO DE TRANSPORTE ESCOLAR PARA LOS ESTUDIANTES PERTENECIENTES AL SLEP LOS ÁLAMOS,,,,,,,,,,,,
2025-10-08 15:30:00,CONTRATACION CURSOS DE CAPACITACION SENCE 2025,,,,,,,,,,,,
2025-10-10 15:00:00,Asistencia e insumos SSRs Región Metropolitana,,,,,,,,,,,,
2025-10-30 14:30:00,Provisión bienes Jornadas con USACH y Consejos Consultivos SSR,,,,,,,,,,,,
2025-10-20 15:00:00,Adquisición de tres 03 estaciones meteorológicas,,,,,,,,,,,,
2025-10-06 19:51:00,SERVICIO DE PRODUCCIONES DE EVENTOS,,,,,,,,,,,,
2025-10-06 16:17:00,VIAJES DE PRENSA A REGIONES DE CHILE,,,,,,,,,,,,
2025-10-16 15:00:00,TERM. Y HAB. DE RAMPA ESC. SANTA TERESA DE AVILA,,,,,,,,,,,,
2025-10-10 17:00:00,Arriendo Sistema de Digitalización de Imágenes de Establecimientos del Servicio de Salud Coquimbo,,,,,,,,,,,,
2025-10-07 17:00:00,Adquisición Equipamiento TICS para COSAM Ovalle,,,,,,,,,,,,
2025-10-14 17:00:00,“Contratación servicio de arriendo de  6 máquinas hemodiálisis+ 1 equipo back up+ 6 sillones insumos para 30 pacientes mensuales e insumos para sala de reutilización por un periodo de 24 meses para Hemodiálisis transitoria del Hospital de Vicuña”,,,,,,,,,,,,
2025-10-09 15:00:00,Medicamentos Centros de Salud Mental Comunitario,,,,,,,,,,,,
2025-10-17 19:52:00,Operación Relleno Sanitario Provincia del Huasco,,,,,,,,,,,,
2025-10-09 18:00:00,CONTRATACIÓN SERVICIO DE ACOMODADORES  PARA TEATRO REGIONAL  CERVANTES - CIUDAD DE VALDIVIA,,,,,,,,,,,,
2025-10-13 15:01:00,RETIRO TRANSPORTE Y DISPOSICIÓN FINAL RESIDUOS.,,,,,,,,,,,,
2025-10-08 15:00:00,INSTALACIÓN DE FOOD TRUCK SALUDABLE,,,,,,,,,,,,
2025-10-16 15:01:00,Adquisición e inst lavadora y secadora industrial,,,,,,,,,,,,
2025-10-07 15:30:00,CCP IQQ SOLICITA SERVICIO DE FUMIGACION PARA 2025,,,,,,,,,,,,
2025-10-16 19:49:00,Servicio mejoramientos varios Aeropuerto El Tepual,,,,,,,,,,,,
2025-10-10 18:30:00,Adquisición de manta barredora de pista,,,,,,,,,,,,
2025-10-21 14:00:00,SERVICIOS PROFESIONALES AT PMB SUBDERE AMRA 2025,,,,,,,,,,,,
2025-10-13 15:05:00,Equipos para el aeropuerto el Tepual,,,,,,,,,,,,
2025-10-13 19:20:00,DRG AFTA BASES ADMINISTRATIVAS DESTINADAS A LA CONTRATACIÓN DE SEGUROS PERSONALES PARA PENADOS QUE CUMPLAN LA PENA SUSTITUTIVA DE PRESTACIÓN DE SERVICIOS EN BENEFICIO DE LA COMUNIDAD DE LA REGION DE ANTOFAGASTA.,,,,,,,,,,,,
2025-10-06 18:35:00,ESTADO VERDE - DRG AFTA REQUIERE  INSUMOS MEDICOS,,,,,,,,,,,,
2025-10-07 18:00:00,CURSO DE SOLDADURA PROGRAMA SENCE TSP 2025,,,,,,,,,,,,
2025-10-07 09:00:00,ESTADO VERDE. SERVICIO DE CURSO DE CAPACITACION,,,,,,,,,,,,
2025-10-27 15:30:00,MANTENCIONES PREVENTIVAS Y CORRECTIVAS DE REDES CONTRA INCENDIO 2025,,,,,,,,,,,,
2025-10-13 16:00:00,DIRREG LOS LAGOS ADQ. CERCO ELECTRICO CCP OSORNO,,,,,,,,,,,,
2025-10-08 15:00:00,Adquisición de Balones Deportivos y Complementos,,,,,,,,,,,,
2025-10-17 15:00:00,SERVICIOS PROFESIONALES PARA COMITÉ INTERNO - ISL,,,,,,,,,,,,
2025-10-13 15:01:00,SERVICIOS PROFESIONALES DE SALUD EN APOYO TÉCNICO EN PROCESOS CLÍNICOS Y ADMINISTRATIVOS DEL DEPARTAMENTO DE SALUD DEL ISL,,,,,,,,,,,,
2025-10-17 15:00:00,SERVICIOS PROFESIONALES PARA LA ASESORÍA EN LA GESTIÓN DE RIESGOS PSICOSOCIALES ACOSO Y VIOLENCIA EN EL TRABAJO DIRIGIDA A LOS TRABAJADORES Y ENTIDADES EMPLEADORAS PÚBLICAS Y PRIVADAS ADHERIDAS AL ISL,,,,,,,,,,,,
2025-10-16 15:00:00,SERVICIOS DE BACKOFFICE DIGITACIÓN PREPARACIÓN DE EXPEDIENTES Y REVISIÓN DE ANTECEDENTES LEY N°16.744,,,,,,,,,,,,
2025-10-14 15:00:00,IMPLEMENTACIÓN SISTEMA CONTROL INTERNO Y PCO DIVOP,,,,,,,,,,,,
2025-10-08 15:00:00,MANTENCIÓN PREVENTIVA Y CORRECTIVA CCTV NC ISL,,,,,,,,,,,,
2025-10-16 15:00:00,SERVICIOS DE BODEGAJE EXTERNO DE BIENES Y DOCUMENTACION DEL INMUEBLE TEATINOS N°726 DEL INSTITUTO DE SEGURIDAD LABORAL – NIVEL CENTRAL,,,,,,,,,,,,
2025-10-10 15:00:00,SERVICIOS PROFESIONALES GESTIÓN DE PROYECTOS PMI,,,,,,,,,,,,
2025-10-09 15:00:00,SUSCRIPCIÓN DE SOFTWARE LIFERAY PARA ISL,,,,,,,,,,,,
2025-10-09 15:00:00,SERVICIO DE EJECUCIÓN DE OBRAS PARA NORMALIZACIÓN ELÉCTRICA Y HABILITACIÓN DE CORRIENTES DÉBILES EN DIRECCIÓN REGIONAL DE VALPARAISO.,,,,,,,,,,,,
2025-10-06 18:00:00,JORNADAS DE BIENESTAR Y RECREACIÓN,,,,,,,,,,,,
2025-10-16 18:00:00,SUMINISTRO CONTAINER SALA DE DESCANSO 40 PIES,,,,,,,,,,,,
2025-10-06 15:01:00,SERVICIO DE VIGILANCIA PRIVADA PARA ESTABLECIMIENTOS DE SALUD DEPENDIENTES DE CORMUDESI POR 24 MESES,,,,,,,,,,,,
2025-10-10 15:00:00,CONVENIO DE SUMINISTRO DE CRISTALES ÓPTICOS ARMAZONES Y ESTUCHES PARA LA ÓPTICA MUNICIPAL DE IQUIQUE POR 24 MESES,,,,,,,,,,,,
2025-10-10 13:30:00,CON. SUMINISTROS KITS ANTENAS SATELITALE COMUDESI,,,,,,,,,,,,
2025-10-10 13:00:00,SERVICIO DE CONFECCIÓN DE VESTUARIO INSTITUCIONAL PARA FUNCIONARIOS DE CORMUDESI POR 24 MESES,,,,,,,,,,,,
2025-10-06 15:01:00,“CONVENIO DE SUMINISTRO DE INSUMOS DE CLINICOS PARA ESTABLECIMIENTOS APS Y MUSEO REGIONAL CORMUDESI AÑO 2025,,,,,,,,,,,,
2025-11-04 15:00:00,C.S. SERVICIO ARRIENDO CAMIONES ALJIBES,,,,,,,,,,,,
2025-10-09 19:00:00,Servicio de Pintura Cabañas El Tabo Asoc. N1.,,,,,,,,,,,,
2025-10-10 18:30:00,Minicargador con Herramienta Zanjadora,,,,,,,,,,,,
2025-10-06 15:00:00,“PLAN DE DIFUSIÓN EN MEDIOS DE COMUNICACIÓN Y SERV,,,,,,,,,,,,
2025-10-14 16:00:00,CONTRATO DE SUMINISTRO DE INSUMOS PARA ANALISIS DE EXAMENES INMUNOLÓGICOS IFI CON EQUIPAMIENTO EN COMODATO DEL HOSPITAL CARLOS VAN BUREN,,,,,,,,,,,,
2025-10-24 16:00:00,CONTRATO DE SUMINISTRO DE AGUJAS HUBER CON EXTENSOR PARA RESERVORIO IMPLANTADO Y CATÉTER SUBCUTÁNEO CON RESERVORIO PARA SERVICIO DE ONCOLOGÍA DEL HOSPITAL CARLOS VAN BUREN,,,,,,,,,,,,
2025-10-14 16:00:00,CONTRATO DE SUMINISTRO DE INSUMOS PARA ANALISIS DE EXAMENES INMUNOLÓGICOS POR TURBIDIMETRÍA CON EQUIPAMIENTO EN COMODATO DEL HOSPITAL CARLOS VAN BUREN,,,,,,,,,,,,
2025-10-15 16:00:00,CONTRATO SUMINISTRO DE FÓRMULAS Y SUPLEMENTO PARA LA UNIDAD DE SEDILE DEL HOSPITAL CARLOS VAN BUREN,,,,,,,,,,,,
2025-10-06 16:00:00,SUMINISTRO DE TRAJES COMPRESIVOS PARA EL HCVB,,,,,,,,,,,,
2025-10-09 11:04:00,Adquisición de Vigas Metálicas para reconstrucción,,,,,,,,,,,,
2025-10-13 20:00:00,SERVICIO DE SEGURIDAD Y VIGILANCIA INTEGRAL EN REC,,,,,,,,,,,,
2025-10-06 15:00:00,SERV. DE CHIPEO IND. Y GESTIÓN BIOMASA MUNICIPAL,,,,,,,,,,,,
2025-10-15 15:00:00,SERVICIO CONTROL DE PLAGAS,,,,,,,,,,,,
2025-10-06 15:00:00,ADQUISICIÓN DE LIBROS BIBLIOTECA CENTRO LECTOR,,,,,,,,,,,,
2025-10-14 15:00:00,Adquisición de lentes ópticos para la UAPO,,,,,,,,,,,,
2025-10-14 15:00:00,Servicio de mantención de ambulancias,,,,,,,,,,,,
2025-10-06 15:00:00,ADQUISICIÓN DE IMPRESORAS,,,,,,,,,,,,
2025-10-20 15:01:00,EJECUCIÓN PROGRAMAS LEY 20.084 REGIÓN DEL MAULE,,,,,,,,,,,,
2025-10-16 15:01:00,HABILITACIÓN DE DORMITORIOS FEMENINOS OFICINAS Y,,,,,,,,,,,,
2025-10-20 15:01:00,EJECUCION PROGRAMAS LEY 20.084 ÑUBLE,,,,,,,,,,,,
2025-10-20 15:01:00,CONTRATACIÓN DE SERVICIOS ORGANISMOS ACREDITADOS,,,,,,,,,,,,
2025-10-20 15:01:00,SERVICIOS CON ORGANISMOS ACREDITADOS SNRSJ,,,,,,,,,,,,
2025-10-20 15:01:00,EJECUCIÓN PROGRAMAS LEY 20.084 LOS RIOS,,,,,,,,,,,,
2025-10-20 15:01:00,EJECUCIÓN PROGRAMAS LEY 20.084 REGIÓN DE LOS LAGOS,,,,,,,,,,,,
2025-10-13 20:00:00,SERV. DESINSECTACION SANITIZACION Y DESRATIZACION,,,,,,,,,,,,
2025-10-06 16:00:00,PVS - ADQUISICIÓN DE SERVICIO DE MANTENIMIENTO DE INFRAESTRUCTURA PARA LOS ESTABLECIMIENTOS EDUCACIONALES Y JARDINES INFANTILES DEPENDIENTES DEL SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE IQUIQUE,,,,,,,,,,,,
2025-10-06 15:01:00,SERVICIO DE TRABAJOS AÉREOS SERNAPESCA-AYSEN-FNDR,,,,,,,,,,,,
2025-10-06 19:00:00,ADQUISICIÓN DE MOBILIARIO,,,,,,,,,,,,
2025-10-13 15:30:00,DRONES CON CAMARA TERMICA SERNAPESCA-AYSEN-FNDR,,,,,,,,,,,,
2025-10-14 15:00:00,ADQUISICIÓN DE INDUMENTARIA PERSONAL E1O2RT,,,,,,,,,,,,
2025-10-16 20:00:00,SERVICIO DE ASEO MANTENCION E INFORMACION SAMORE,,,,,,,,,,,,
2025-10-07 15:00:00,CONCESIÓN DE ELEMENTOS PUBLICITARIOS.,,,,,,,,,,,,
2025-10-14 15:00:00,MEJORAMIENTO BARRIO NUEVA GUANACO RECOLETA,,,,,,,,,,,,
2025-10-28 15:00:00,PUNTOS DE DESCANSO PARA AGENTES POLINIZADORES,,,,,,,,,,,,
2025-10-06 15:01:00,Mantención General De Servicios Higiénicos EE,,,,,,,,,,,,
2025-10-06 15:01:00,EJECUCIÓN DE TRABAJOS ELÉCTRICOS DE EMERGENCIA,,,,,,,,,,,,
2025-10-06 15:01:00,SOLUCIÓN INUNDACIÓN AGUAS LLUVIA LICEO CAMILO H.,,,,,,,,,,,,
2025-10-13 15:01:00,MANTENCION DE SISTEMA DE AGUA POTABLE SANTA CARLA,,,,,,,,,,,,
2025-10-14 15:01:00,MATERIALES MANTENIMIENTO INFRAESTRUCTURA CENTROS RECREACIONALES,,,,,,,,,,,,
2025-10-08 20:00:00,SERVICIO DE ILUMINACIÓN DE FACHADAS DE MUSEOS,,,,,,,,,,,,
2025-10-15 15:00:00,ADQUISICIÓN DE JUGUETES DE NAVIDAD 2025 PARA LA COMUNIDAD DE LLANQUIHUE.,,,,,,,,,,,,
2025-10-10 10:00:00,EJECUCIÓN DE INTERVENCIONES CONSTRUCTIVAS PROGRAMA,,,,,,,,,,,,
2025-11-14 15:00:00,ADQ. LAVADORAS CONT. PARA ESTERILIZACIÓN PROY. HPC,,,,,,,,,,,,
2025-10-27 15:01:00,Adquisición aceleradores lineales RCASR,,,,,,,,,,,,
2025-10-15 12:01:00,CONSTRUCCION INFRAESTRCUTURA PRODUCTIVA AYACARA,,,,,,,,,,,,
2025-10-24 14:00:00,REPOSICIÓN GRADERIAS ESTADIO MUNICIPAL DE CHAITEN,,,,,,,,,,,,
2025-11-03 15:01:00,Mejoramiento Plaza de Armas comuna de Chaiten,,,,,,,,,,,,
2025-10-17 14:00:00,MEJORAMIENTO PLANTA TRATAMIENTO BUILL CHAITEN,,,,,,,,,,,,
2025-10-10 09:00:00,D.R - ADQUISICIÓN EQUIPO DE SEGURIDAD PARA GENCHI.,,,,,,,,,,,,
2025-10-08 07:30:00,SERVICIO DE SUMINISTRO DE PAN PARA EL CLUB DE SUBOFICIALES (556/2025),,,,,,,,,,,,
2025-10-08 07:30:00,SERVICIO DE SUMINISTRO DE PAN PARA EL CLUB DE CAMPO DE OFICIALES QUINCHAMALI (517/2025),,,,,,,,,,,,
2025-10-07 17:00:00,Adquisición de equipamiento digital más instalación y puesta en marcha en el marco del Proyecto USA23991,,,,,,,,,,,,
2025-10-13 15:01:00,CONVENIO DE SUMINISTRO CONTROL DE PLAGAS,,,,,,,,,,,,
2025-10-06 15:30:00,SUMINISTRO ARTICULOS  ASEO UNIDADES EDUCACIONALES,,,,,,,,,,,,
2025-10-06 15:30:00,SUMINISTRO MATERIAL PEDAGOGICO LICEOS TECNICO PROF,,,,,,,,,,,,
2025-10-06 17:00:00,SERVICIO DE VIGILANCIA Y MONITOREO DE ALARMAS,,,,,,,,,,,,
2025-10-13 17:00:00,CONVENIO DE SUMINISTRO CARNES ROJAS Y BLANCAS,,,,,,,,,,,,
2025-10-07 16:00:00,Medicamentos 2025,,,,,,,,,,,,
2025-10-10 18:30:00,ADQUISICION DE CAPA DE NÚCLEO DE RED PARA LA UNIVERSIDAD DE TALCA,,,,,,,,,,,,
2025-10-06 15:10:00,20-36971 SERVICIO DE MANTENCIONES,,,,,,,,,,,,
2025-10-06 20:00:00,PRODUCCIÓN DE FIESTA DE ANIVERSARIO 2025 - UTALCA,,,,,,,,,,,,
2025-10-06 19:46:00,SERVICIO ALIMENTACIÓN ANIVERSARIO UTALCA 2025,,,,,,,,,,,,
2025-10-06 20:00:00,MOBILIARIO PARA LABORATORIOS - UTALCA,,,,,,,,,,,,
2025-10-15 18:30:00,“Cambio de tableros eléctricos campus Talca Univ,,,,,,,,,,,,
2025-10-07 15:00:00,SERVICIO DE DIFUSION DE OFERTA ACADÉMICA EN MEDIO  ESCRITO CON PRESENCIA NACIONAL  UNIVERSIDAD DE TALCA,,,,,,,,,,,,
2025-10-21 18:00:00,ADQUISICIÓN DE MATERIAL PLASTINADO,,,,,,,,,,,,
2025-10-09 13:30:00,20-37527 INSUMOS PARA LABORATORIO ,,,,,,,,,,,,
2025-10-10 12:00:00,“SERVICIO DE DIFUSION  EN MEDIO  ESCRITO CON PRESENCIA NACIONAL DE PUBLIREPORTAJE PARA  UNIVERSIDAD DE TALCA”,,,,,,,,,,,,
2025-10-09 19:00:00,Habilitación de oficinas CAJS Puente Alto,,,,,,,,,,,,
2025-10-08 19:00:00,Adquisición de discos duros destinados a la expansión del almacenamiento del sistema HPE MSA 2050 SAN actualmente en operación en la infraestructura tecnológica de la CAJRM,,,,,,,,,,,,
2025-10-09 19:00:00,Compra de Equipos computacionales CAJRM,,,,,,,,,,,,
2025-10-08 19:00:00,Habilitación de oficinas NAD RM Sur CAJMETRO,,,,,,,,,,,,
2025-10-10 15:31:00,CONSERVACION ESCUELA CHILHUE COMUNA DE QUEILEN,,,,,,,,,,,,
2025-10-08 10:00:00,PTR N°585 - SUMINISTRO INSTALACION REVISION MANTENCION Y CERTIFICACION DE PUNTOS DE ANCLAJE Y LINEA DE VIDA HORIZONTAL EN EDIFICIO CCV.,,,,,,,,,,,,
2025-10-08 10:30:00,PTR N°584 - SERVICIO DE REPOSICION DE REJILLA PEATONALES EN AVEDIDA ALONSO DE CORDOVA,,,,,,,,,,,,
2025-10-13 15:30:00,GESTOR DE CAMPAÑAS PARA COBRANZAS DEL INDAP,,,,,,,,,,,,
2025-10-07 12:00:00,PTR N°S-176 - SERVICIO DE TAXIS PARA TRASLADO DE USUARIOS Y FUNCIONARIOS EN CONTEXTO DE ATENCION DESDE Y HACIA INSTITUCIONES DE SALUD.,,,,,,,,,,,,
2025-11-10 16:00:00,Mantenimiento reparación y atención de emergencias,,,,,,,,,,,,
2025-10-09 15:30:00,Inspección técnica de obras de conservación de eme,,,,,,,,,,,,
2025-10-17 17:00:00,SERV.DE EJECUIÓN DE OBRAS DE CONSERVACIÓN DE EMERG,,,,,,,,,,,,
2025-10-14 19:00:00,SC 21929 CAMIONETA PARA SENAPRED LOS RÍOS,,,,,,,,,,,,
2025-10-22 15:00:00,PPTA 400-25 CONT SERV MANO DE OBRA ESPECIALIZ HHHA,,,,,,,,,,,,
2025-10-24 15:00:00,PPTA 389-25 CONT SERV ASEO PARA EL HHHA Y OTRAS DEP,,,,,,,,,,,,
2025-10-07 12:00:00,DISEÑO PROYECTO DE PAVIMENTACIÓN DE LAS VEREDAS CALLE ESMERALDA SAN NICOLÁS,,,,,,,,,,,,
2025-10-14 15:10:00,CONSTRUCIÓN 01 VIVIENDA EN SITIO PROPIO REGULADO POR EL D.S. N°49 V. Y U. DE 2011 Y SUS MODIFICACIONES,,,,,,,,,,,,
2025-10-06 17:00:00,Servicio de Mantención Preventiva y Correctiva de los Sistemas de Climatización del Instituto Nacional del Tórax ,,,,,,,,,,,,
2025-10-15 17:00:00,SERVICIO DE ARRIENDO DE EQUIPOS MÉDICOS POLÍGRAFO Y POLISOMNÓGRAFO ,,,,,,,,,,,,
2025-10-15 17:00:00,SERVICIO DE REPOSICIÓN DE OXIGENO LÍQUIDO Y MANTENCIÓN DE ESTANQUE CRIOGÉNICO,,,,,,,,,,,,
2025-10-09 18:38:00,MONITOR DESFIBRILADOR CARRO DE PARO Y EQUIPO DE AGITACIÓN ORBITAL TIPO VORTEX,,,,,,,,,,,,
2025-11-03 18:00:00,servicios profesionales médicos para la realización de reemplazos de turnos para las Unidades de Pacientes Críticos del Instituto Nacional del Tórax,,,,,,,,,,,,
2025-10-13 17:00:00,REFRIGERADOR CLÍNICO Y PISTOLA A VAPOR,,,,,,,,,,,,
2025-10-17 09:45:00,AIF OCA QUEBRADA BONILLA CONTROL ALUVIONAL,,,,,,,,,,,,
2025-10-14 10:00:00,HABILITACIÓN SSR JILGUERO TERCER LLAMADO,,,,,,,,,,,,
2025-10-07 10:00:00,OC CONSTRUCCION FUENTES SSR ISLON Y SSR LA ROJAS,,,,,,,,,,,,
2025-11-21 10:00:00,DISEÑO PLANTA DESALINIZADORA DE POZOS DE AGUAS SUB,,,,,,,,,,,,
2025-10-14 10:30:00,OC CONSTR. FUENTES SSR TRANQUILLA Y SSR HIGUERILLA,,,,,,,,,,,,
2025-10-14 10:30:00,AIF MEJ. INTEGRAL SISTEMA APR SANTA VIRGINIA ,,,,,,,,,,,,
2025-10-15 10:30:00,CONSTRUCCIÓN DE FUENTE SERV. APR RINC. DE GUZMANES,,,,,,,,,,,,
2025-10-15 11:30:00,CONSTRUCCIÓN DE FUENTE SERV. APR LOS MAITENES ,,,,,,,,,,,,
2025-10-20 15:00:00,MEJORAMIENTO SERVICIO SANITARIO RURAL  EL SALTO ,,,,,,,,,,,,
2025-10-20 15:01:00,"MEJORAMIENTO INTEGRAL EL CARMEN LOS LINGUES, COMUN",,,,,,,,,,,,
2025-10-21 09:30:00,DISEÑO MEJORAMIENTO SERVICIO DE AGUA POTABLE SSR L,,,,,,,,,,,,
2025-10-27 15:00:00,"“CONSTRUCCIÓN DE FUENTE, SSR CHACAYES, COMUNA DE M",,,,,,,,,,,,
2025-10-22 15:00:00,"MEJORAMIENTO SSR LA ALIANZA, COMUNA DE RENGO, REGI",,,,,,,,,,,,
2025-10-07 11:00:00,"Conservación SSR Pocillas, Cauquenes",,,,,,,,,,,,
2025-10-08 11:00:00,"Conservación SSR Las Hornillas, Linares",,,,,,,,,,,,
2025-10-10 15:00:00,"DISEÑO MEJORAMIENTO Y AMPLIACIÓN SISTEMA AGUA POTABLE SSR LOS MAITENES, RÍO CLARO",,,,,,,,,,,,
2025-10-15 15:00:00,"DISEÑO MEJORAMIENTO Y AMPLIACIÓN SISTEMA AGUA POTABLE SSR RARI, COLBÚN",,,,,,,,,,,,
2025-10-30 11:00:00,DISEÑO MEJORAMIENTO Y AMPLIACIÓN SISTEMA AGUA POTA,,,,,,,,,,,,
2025-10-17 11:00:00,"CONSERVACIÓN SSR PEUMO NEGRO - LAS DELICIAS, SAN CLEMENTE (SEGUNDO LLAMADO)",,,,,,,,,,,,
2025-10-15 10:00:00,"CONSERVACION DE RED PRIMARIA DE AGUAS LLUVIAS, COM",,,,,,,,,,,,
2025-10-13 15:01:00,ADECUACIÓN DE ESPACIOS EDIFICIO MOP PISO 4 Y 6,,,,,,,,,,,,
2025-10-06 16:00:00,IMPLEMENTACIÓN DE PLATAFORMA DIGITAL SSR,,,,,,,,,,,,
